# Chunk-averaged data for fix 104 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
2000000 70 1632
  1 0.985833 0 0
  2 2.98583 0 0
  3 4.98583 0 0
  4 6.98583 0 0
  5 8.98583 16 327.244
  6 10.9858 16 329.491
  7 12.9858 16 328.342
  8 14.9858 15.9658 328.463
  9 16.9858 6.91418 328.541
  10 18.9858 9.13388 326.851
  11 20.9858 15.9861 328.629
  12 22.9858 16 329.492
  13 24.9858 16 329.197
  14 26.9858 16 328.962
  15 28.9858 16 328.935
  16 30.9858 15.9786 329.129
  17 32.9858 7.33163 330.807
  18 34.9858 8.69844 330.663
  19 36.9858 15.9913 328.691
  20 38.9858 16 327.144
  21 40.9858 16 327.609
  22 42.9858 16 329.327
  23 44.9858 16 327.728
  24 46.9858 15.8507 329.397
  25 48.9858 2.93133 329.755
  26 50.9858 13.2182 329.824
  27 52.9858 15.9997 328.409
  28 54.9858 16 325.83
  29 56.9858 16 328.139
  30 58.9858 16 329.781
  31 60.9858 15.999 325.533
  32 62.9858 13.5212 323.886
  33 64.9858 3.15577 323.213
  34 66.9858 15.3281 324.81
  35 68.9858 15.9959 323.326
  36 70.9858 16 324.522
  37 72.9858 16 324.214
  38 74.9858 15.9829 321.466
  39 76.9858 18.018 270.453
  40 78.9858 46.2722 271.864
  41 80.9858 43.7269 271.008
  42 82.9858 36 270.865
  43 84.9858 36.0134 270.003
  44 86.9858 53.7973 270.302
  45 88.9858 36.1893 270.073
  46 90.9858 36 270.068
  47 92.9858 37.9648 270.49
  48 94.9858 52.0351 270.219
  49 96.9858 36.0001 270.765
  50 98.9858 36 270.078
  51 100.986 50.4233 270.737
  52 102.986 39.5767 270.029
  53 104.986 36 269.989
  54 106.986 36.0219 270.093
  55 108.986 53.9627 270.309
  56 110.986 36.0154 271.064
  57 112.986 36 270.933
  58 114.986 39.2092 270.612
  59 116.986 50.7908 269.822
  60 118.986 36 269.494
  61 120.986 36 269.628
  62 122.986 52.9694 269.815
  63 124.986 37.0306 270.014
  64 126.986 36 270.551
  65 128.986 36.0054 270.342
  66 130.986 53.9945 269.973
  67 132.986 18 270.062
  68 134.986 0 0
  69 136.986 0 0
  70 138.986 0 0
