# Time-averaged data for fix energy_flux
# TimeStep f_11 f_12
1000 0.804367 0.0246333
2000 0.61313 -0.234716
3000 1.32151 -0.382237
4000 0.347409 -0.514327
5000 0.478071 -0.590215
6000 1.57408 -0.286237
7000 1.07321 -0.376425
8000 -0.310773 0.104968
9000 0.0212836 0.333492
10000 0.224309 0.279649
11000 0.624066 0.262828
12000 -0.0377754 0.55293
13000 0.298617 0.65847
14000 0.398186 1.0549
15000 0.692995 2.00123
16000 0.717366 0.672996
17000 -0.519502 0.584681
18000 0.524743 0.132918
19000 0.971123 -0.624393
20000 1.12543 -0.282588
21000 1.14121 0.551247
22000 0.703832 0.852872
23000 1.19508 0.437984
24000 1.65378 -0.327066
25000 1.46032 -0.675369
26000 1.5457 -0.482735
27000 1.5582 -1.6164
28000 0.9455 -1.69833
29000 0.597455 -1.30721
30000 1.5478 -0.611153
31000 1.61727 -0.280702
32000 0.807077 1.34495
33000 1.14462 0.909737
34000 0.899204 -0.679618
35000 0.061158 -0.398641
36000 1.12461 -0.985171
37000 0.752342 -1.26458
38000 1.52622 -1.08642
39000 1.82655 -1.25712
40000 1.16558 -0.391219
41000 0.934139 -0.298161
42000 0.473638 0.230634
43000 0.585834 0.104452
44000 0.215471 0.56902
45000 -0.0226755 1.65321
46000 0.210769 0.646772
47000 0.422224 -0.554492
48000 -0.428718 -0.258129
49000 0.287731 -0.64634
50000 0.586497 -1.96077
51000 0.102699 -2.01584
52000 0.371617 -1.09124
53000 0.538566 -1.35038
54000 0.756298 -0.846358
55000 1.10246 -1.62604
56000 1.72329 -1.57533
57000 1.41936 -1.22022
58000 1.58075 -0.836628
59000 0.83281 -1.52459
60000 1.02288 -2.49095
61000 1.51215 -1.2405
62000 1.00983 -1.21284
63000 0.541304 -1.48038
64000 0.0532332 -0.60508
65000 0.789613 0.0574198
66000 0.93297 0.831513
67000 -0.160393 1.63934
68000 0.0595613 2.51617
69000 0.408387 2.26303
70000 0.247689 1.70395
71000 0.264666 2.43638
72000 -0.00348281 3.17947
73000 -0.13046 3.32021
74000 -0.515713 3.54658
75000 -0.335569 3.33844
76000 0.0206489 3.83899
77000 0.822094 3.46894
78000 1.01259 1.5034
79000 0.671106 0.770617
80000 0.553837 1.24327
81000 -0.188078 0.864677
82000 0.211148 1.90613
83000 -0.569424 1.37119
84000 -0.534173 1.59168
85000 -0.463113 0.638964
86000 -0.905224 -0.03495
87000 -0.89268 1.00853
88000 -1.00508 1.56551
89000 -1.10318 1.5835
90000 -1.04548 1.36151
91000 -0.450082 1.5541
92000 -0.627412 0.512995
93000 -1.10469 1.45887
94000 -1.15662 1.56295
95000 -0.580516 2.81667
96000 -0.519736 1.9045
97000 0.185991 2.56507
98000 0.564775 2.89478
99000 1.25318 2.79278
100000 0.873279 2.46873
101000 0.427582 2.9054
102000 -0.00482533 3.27138
103000 -0.35403 3.2404
104000 -0.357174 3.23377
105000 0.841625 3.04719
106000 0.361227 2.23717
107000 0.808975 1.65952
108000 1.73513 1.55743
109000 0.216851 2.58331
110000 0.00848034 3.04647
111000 -0.12867 2.95234
112000 -0.57999 3.55219
113000 0.00417092 4.05917
114000 -0.428202 3.42582
115000 -1.0995 2.9087
116000 -0.969384 2.72134
