# Chunk-averaged data for fix 104 and group mid
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp1
2000000 89 2236
  1 0.983771 0 0
  2 2.98377 0 0
  3 4.98377 0 0
  4 6.98377 0 0
  5 8.98377 16 317.754
  6 10.9838 16 317.347
  7 12.9838 16 316.799
  8 14.9838 16 317.457
  9 16.9838 16 318.639
  10 18.9838 16 320.806
  11 20.9838 16 319.612
  12 22.9838 16.0027 320.162
  13 24.9838 18.6445 319.718
  14 26.9838 24.4915 320.336
  15 28.9838 18.9226 318.221
  16 30.9838 17.1138 319.631
  17 32.9838 16.4977 318.778
  18 34.9838 16.1974 319.72
  19 36.9838 16.0831 317.651
  20 38.9838 16.0321 319.773
  21 40.9838 16.0095 319.458
  22 42.9838 16.0031 318.87
  23 44.9838 16.0016 319.1
  24 46.9838 16.0001 319.697
  25 48.9838 16.0004 319.049
  26 50.9838 16.0001 318.559
  27 52.9838 16.0001 318.058
  28 54.9838 16 317.04
  29 56.9838 16 317.932
  30 58.9838 16 318.964
  31 60.9838 16 315.859
  32 62.9838 16 318.573
  33 64.9838 16 318.224
  34 66.9838 16 316.703
  35 68.9838 15.9998 314.689
  36 70.9838 15.9997 315.034
  37 72.9838 15.9986 315.992
  38 74.9838 15.9954 313.574
  39 76.9838 15.9884 315.395
  40 78.9838 15.9727 315.951
  41 80.9838 15.9262 315.889
  42 82.9838 15.8366 315.756
  43 84.9838 15.6036 316.678
  44 86.9838 15.3885 314.538
  45 88.9838 14.2802 313.378
  46 90.9838 12.9808 311.864
  47 92.9838 24.0307 287.032
  48 94.9838 41.7892 279.054
  49 96.9838 48.1878 278.817
  50 98.9838 36.0221 278.626
  51 100.984 39.3329 279.072
  52 102.984 50.0598 280.096
  53 104.984 36.6073 279.729
  54 106.984 36.1951 280.249
  55 108.984 48.3473 280.07
  56 110.984 41.4575 280.321
  57 112.984 36.0001 280.469
  58 114.984 40.8246 280.214
  59 116.984 49.1467 280.01
  60 118.984 36.0286 279.923
  61 120.984 36.2499 280.049
  62 122.984 51.6416 280.285
  63 124.984 38.1085 280.586
  64 126.984 36 280.178
  65 128.984 42.585 280.289
  66 130.984 47.4145 280.146
  67 132.984 36.0005 279.62
  68 134.984 36.1867 280.047
  69 136.984 53.4363 280.469
  70 138.984 36.377 280.283
  71 140.984 36 279.974
  72 142.984 44.517 279.736
  73 144.984 45.483 279.578
  74 146.984 36 279.517
  75 148.984 36.0564 279.408
  76 150.984 53.9198 279.565
  77 152.984 36.0239 279.976
  78 154.984 36 279.591
  79 156.984 46.2277 279.542
  80 158.984 43.7723 279.239
  81 160.984 36 279.475
  82 162.984 36.0027 279.144
  83 164.984 53.9973 279.138
  84 166.984 36 279.495
  85 168.984 0 0
  86 170.984 0 0
  87 172.984 0 0
  88 174.984 0 0
  89 176.984 0 0
